Tepung Ganyong;tepung-ganyong;Dwi Nugraheni;NULL;NULL;NULL;application/pdf;NULL;;493.63;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/ganyong1OK.pdf
Tepung Ganyong;tepung-ganyong;Dwi Nugraheni;NULL;NULL;NULL;application/pdf;NULL;;493.63;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/ganyong1OK.pdf
Pemupukan Pada Bawang Merah;pemupukan-pada-bawang-merah;Samijan;NULL;NULL;NULL;application/pdf;NULL;;464.77;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/ppkbwE.pdf
Pemupukan Pada Bawang Merah;pemupukan-pada-bawang-merah;Sri Rustini;NULL;NULL;NULL;application/pdf;NULL;;464.77;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/ppkbwE.pdf
Petunjuk Teknis Cara Membuat Yoghurt;petunjuk-teknis-cara-membuat-yoghurt;Retno Endrasari;NULL;NULL;NULL;application/pdf;NULL;;374.76;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/ygrtOKE.pdf
Petunjuk Teknis Cara Membuat Yoghurt;petunjuk-teknis-cara-membuat-yoghurt;Retno Endrasari;NULL;NULL;NULL;application/pdf;NULL;;374.76;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/ygrtOKE.pdf
Petunjuk Teknis Cara Membuat Yoghurt;petunjuk-teknis-cara-membuat-yoghurt;Dwi Nugraheni;NULL;NULL;NULL;application/pdf;NULL;;374.76;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/ygrtOKE.pdf
Petunjuk Teknis Cara Membuat Yoghurt;petunjuk-teknis-cara-membuat-yoghurt;Dwi Nugraheni;NULL;NULL;NULL;application/pdf;NULL;;374.76;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/ygrtOKE.pdf
Mengenal Suweg dan Sejenisnya ;mengenal-suweg-dan-sejenisnya-;Sri Rustini;NULL;NULL;NULL;application/pdf;NULL;;1037.39;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/virus3.pdf
Mengenal Suweg dan Sejenisnya ;mengenal-suweg-dan-sejenisnya-;Sri Rustini;NULL;NULL;NULL;application/pdf;NULL;;778.1;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/suwegOK1.pdf
Mengenal Suweg dan Sejenisnya ;mengenal-suweg-dan-sejenisnya-;Arif Susila;NULL;NULL;NULL;application/pdf;NULL;;1037.39;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/virus3.pdf
Mengenal Suweg dan Sejenisnya ;mengenal-suweg-dan-sejenisnya-;Arif Susila;NULL;NULL;NULL;application/pdf;NULL;;778.1;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/suwegOK1.pdf
Pembuatan Dodol Tomat;pembuatan-dodol-tomat;Rr. Sri Catur Budisetyaningrum;NULL;NULL;NULL;application/pdf;NULL;;3593.63;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/reproduksi.pdf
Pembuatan Dodol Tomat;pembuatan-dodol-tomat;Rr. Sri Catur Budisetyaningrum;NULL;NULL;NULL;application/pdf;NULL;;721.65;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/liflettomatOK.pdf
Pembuatan Dodol Tomat;pembuatan-dodol-tomat;Retno Endrasari;NULL;NULL;NULL;application/pdf;NULL;;3593.63;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/reproduksi.pdf
Pembuatan Dodol Tomat;pembuatan-dodol-tomat;Retno Endrasari;NULL;NULL;NULL;application/pdf;NULL;;721.65;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/liflettomatOK.pdf
Pembuatan Dodol Tomat;pembuatan-dodol-tomat;Selvia Dewi Anomsari;NULL;NULL;NULL;application/pdf;NULL;;3593.63;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/reproduksi.pdf
Pembuatan Dodol Tomat;pembuatan-dodol-tomat;Selvia Dewi Anomsari;NULL;NULL;NULL;application/pdf;NULL;;721.65;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/liflettomatOK.pdf
Aneka Olahan Ubi Jalar;aneka-olahan-ubi-jalar;Indrie Ambarsari;NULL;NULL;NULL;application/pdf;NULL;;392.69;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/UbiOK.pdf
Aneka Olahan Ubi Jalar;aneka-olahan-ubi-jalar;Gama Noor Oktaningrum;NULL;NULL;NULL;application/pdf;NULL;;392.69;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/UbiOK.pdf
Budidaya dan Pengenalan Varietas Unggul Krisan;budidaya-dan-pengenalan-varietas-unggul-krisan;Jajuk Aneka Beti;NULL;NULL;NULL;application/pdf;NULL;;739.76;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/luas_daun.pdf
Budidaya dan Pengenalan Varietas Unggul Krisan;budidaya-dan-pengenalan-varietas-unggul-krisan;Jajuk Aneka Beti;NULL;NULL;NULL;application/pdf;NULL;;516.54;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/krisanOK.pdf
Budidaya dan Pengenalan Varietas Unggul Krisan;budidaya-dan-pengenalan-varietas-unggul-krisan;Retno Pangestuti;NULL;NULL;NULL;application/pdf;NULL;;739.76;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/luas_daun.pdf
Budidaya dan Pengenalan Varietas Unggul Krisan;budidaya-dan-pengenalan-varietas-unggul-krisan;Retno Pangestuti;NULL;NULL;NULL;application/pdf;NULL;;516.54;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/krisanOK.pdf
Pemanfaatan Limbah Air Kelapa untuk Pembuatan Minuman Nata De Coco;pemanfaatan-limbah-air-kelapa-untuk-pembuatan-minuman-nata-de-coco;Muryanto;NULL;NULL;NULL;application/pdf;NULL;;673.42;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/natadecocoOK.pdf
Pemanfaatan Limbah Air Kelapa untuk Pembuatan Minuman Nata De Coco;pemanfaatan-limbah-air-kelapa-untuk-pembuatan-minuman-nata-de-coco;Subiharta;NULL;NULL;NULL;application/pdf;NULL;;673.42;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/natadecocoOK.pdf
Pemanfaatan Limbah Air Kelapa untuk Pembuatan Minuman Nata De Coco;pemanfaatan-limbah-air-kelapa-untuk-pembuatan-minuman-nata-de-coco;Selvia Dewi Anomsari;NULL;NULL;NULL;application/pdf;NULL;;673.42;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/natadecocoOK.pdf
Teh Herbal Krisan Celup;teh-herbal-krisan-celup;Jajuk Aneka Beti;NULL;NULL;NULL;application/pdf;NULL;;540.95;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/tehkrisanE.pdf
Teh Herbal Krisan Celup;teh-herbal-krisan-celup;Retno Pangestuti;NULL;NULL;NULL;application/pdf;NULL;;540.95;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/tehkrisanE.pdf
Teh Herbal Krisan Celup;teh-herbal-krisan-celup;;NULL;NULL;NULL;application/pdf;NULL;;540.95;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/tehkrisanE.pdf
Pembuatan Pakan Konsentrat Sapi Perah;pembuatan-pakan-konsentrat-sapi-perah;Gunawan Sejati;NULL;NULL;NULL;application/pdf;NULL;;554.67;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/7_Didu_W.pdf
Pembuatan Pakan Konsentrat Sapi Perah;pembuatan-pakan-konsentrat-sapi-perah;Gunawan Sejati;NULL;NULL;NULL;application/pdf;NULL;;615.05;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/pakansapi.pdf
Pembuatan Pakan Konsentrat Sapi Perah;pembuatan-pakan-konsentrat-sapi-perah;;NULL;NULL;NULL;application/pdf;NULL;;554.67;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/7_Didu_W.pdf
Pembuatan Pakan Konsentrat Sapi Perah;pembuatan-pakan-konsentrat-sapi-perah;;NULL;NULL;NULL;application/pdf;NULL;;615.05;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/pakansapi.pdf
Budidaya Bawang Merah Di Lahan Pekarangan;budidaya-bawang-merah-di-lahan-pekarangan;Nur Fitriana;NULL;NULL;NULL;application/pdf;NULL;;705.37;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/bwglahanE.pdf
Budidaya Bawang Merah Di Lahan Pekarangan;budidaya-bawang-merah-di-lahan-pekarangan;Aryana Citra Kusumasari;NULL;NULL;NULL;application/pdf;NULL;;705.37;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/bwglahanE.pdf
Budidaya Bawang Merah Di Lahan Pekarangan;budidaya-bawang-merah-di-lahan-pekarangan;Agus Hermawan;NULL;NULL;NULL;application/pdf;NULL;;705.37;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/bwglahanE.pdf
Budidaya Bawang Merah Di Lahan Pekarangan;budidaya-bawang-merah-di-lahan-pekarangan;;NULL;NULL;NULL;application/pdf;NULL;;705.37;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/bwglahanE.pdf
Panen dan Pasca Panen Cabai Rawit;panen-dan-pasca-panen-cabai-rawit;Fitri Lestari;NULL;NULL;NULL;application/pdf;NULL;;4591.18;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/populasi_mikroba_fungsional0001.pdf
Panen dan Pasca Panen Cabai Rawit;panen-dan-pasca-panen-cabai-rawit;Fitri Lestari;NULL;NULL;NULL;application/pdf;NULL;;1249.42;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/rawitOK.pdf
Panen dan Pasca Panen Cabai Rawit;panen-dan-pasca-panen-cabai-rawit;Indrie Ambarsari;NULL;NULL;NULL;application/pdf;NULL;;4591.18;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/populasi_mikroba_fungsional0001.pdf
Panen dan Pasca Panen Cabai Rawit;panen-dan-pasca-panen-cabai-rawit;Indrie Ambarsari;NULL;NULL;NULL;application/pdf;NULL;;1249.42;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/rawitOK.pdf
Budidaya Bawang Merah Di Wadah;budidaya-bawang-merah-di-wadah;Nur Fitriana;NULL;NULL;NULL;application/pdf;NULL;;4772.92;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/studi_dinamika_hara_870001.pdf
Budidaya Bawang Merah Di Wadah;budidaya-bawang-merah-di-wadah;Nur Fitriana;NULL;NULL;NULL;application/pdf;NULL;;4772.92;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/studi_dinamika_hara_8700011.pdf
Budidaya Bawang Merah Di Wadah;budidaya-bawang-merah-di-wadah;Nur Fitriana;NULL;NULL;NULL;application/pdf;NULL;;806.9;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/bwngwadahE.pdf
Budidaya Bawang Merah Di Wadah;budidaya-bawang-merah-di-wadah;Aryana Citra Kusumasari;NULL;NULL;NULL;application/pdf;NULL;;4772.92;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/studi_dinamika_hara_870001.pdf
Budidaya Bawang Merah Di Wadah;budidaya-bawang-merah-di-wadah;Aryana Citra Kusumasari;NULL;NULL;NULL;application/pdf;NULL;;4772.92;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/studi_dinamika_hara_8700011.pdf
Budidaya Bawang Merah Di Wadah;budidaya-bawang-merah-di-wadah;Aryana Citra Kusumasari;NULL;NULL;NULL;application/pdf;NULL;;806.9;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/bwngwadahE.pdf
Budidaya Bawang Merah Di Wadah;budidaya-bawang-merah-di-wadah;Agus Hermawan;NULL;NULL;NULL;application/pdf;NULL;;4772.92;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/studi_dinamika_hara_870001.pdf
Budidaya Bawang Merah Di Wadah;budidaya-bawang-merah-di-wadah;Agus Hermawan;NULL;NULL;NULL;application/pdf;NULL;;4772.92;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/studi_dinamika_hara_8700011.pdf
Budidaya Bawang Merah Di Wadah;budidaya-bawang-merah-di-wadah;Agus Hermawan;NULL;NULL;NULL;application/pdf;NULL;;806.9;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/bwngwadahE.pdf
Feromon Exi;feromon-exi;Retno Pangestuti;NULL;NULL;NULL;application/pdf;NULL;;828.97;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/exiOKE.pdf
Feromon Exi;feromon-exi;Agustina Prihatin Mugi Rahayu;NULL;NULL;NULL;application/pdf;NULL;;828.97;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/exiOKE.pdf
Teknologi Budidaya Bawang Putih Ramah Lingkungan;teknologi-budidaya-bawang-putih-ramah-lingkungan;Tri Reni Prastuti;NULL;NULL;NULL;application/pdf;NULL;;5337.91;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/bawangpth.pdf
Teknologi Budidaya Bawang Putih Ramah Lingkungan;teknologi-budidaya-bawang-putih-ramah-lingkungan;Samijan;NULL;NULL;NULL;application/pdf;NULL;;5337.91;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/bawangpth.pdf
Teknologi Budidaya Bawang Putih Ramah Lingkungan;teknologi-budidaya-bawang-putih-ramah-lingkungan;Tri Cahyo Mardiyanto;NULL;NULL;NULL;application/pdf;NULL;;5337.91;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/bawangpth.pdf
Teknologi Budidaya Bawang Putih Ramah Lingkungan;teknologi-budidaya-bawang-putih-ramah-lingkungan;Ridha Nurlaily;NULL;NULL;NULL;application/pdf;NULL;;5337.91;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/bawangpth.pdf
Abon Daging-Nangka;abon-daging-nangka;Rr. Sri Catur Budisetyaningrum;NULL;NULL;NULL;application/pdf;NULL;;205.62;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/AS162153.pdf
Abon Daging-Nangka;abon-daging-nangka;Rr. Sri Catur Budisetyaningrum;NULL;NULL;NULL;application/pdf;NULL;;775.88;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/AbonOK.pdf
Abon Daging-Nangka;abon-daging-nangka;Dwi Nugraheni;NULL;NULL;NULL;application/pdf;NULL;;205.62;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/AS162153.pdf
Abon Daging-Nangka;abon-daging-nangka;Dwi Nugraheni;NULL;NULL;NULL;application/pdf;NULL;;775.88;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/AbonOK.pdf
Abon Daging-Nangka;abon-daging-nangka;Tri Cahyo Mardiyanto;NULL;NULL;NULL;application/pdf;NULL;;205.62;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/AS162153.pdf
Abon Daging-Nangka;abon-daging-nangka;Tri Cahyo Mardiyanto;NULL;NULL;NULL;application/pdf;NULL;;775.88;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/AbonOK.pdf
Abon Daging-Nangka;abon-daging-nangka;Selvia Dewi Anomsari;NULL;NULL;NULL;application/pdf;NULL;;205.62;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/AS162153.pdf
Abon Daging-Nangka;abon-daging-nangka;Selvia Dewi Anomsari;NULL;NULL;NULL;application/pdf;NULL;;775.88;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/AbonOK.pdf
Manajemen reproduksi sapi potong;manajemen-reproduksi-sapi-potong;;NULL;NULL;NULL;application/pdf;NULL;;5412.77;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/rice_cultivation0001.pdf
Manajemen reproduksi sapi potong;manajemen-reproduksi-sapi-potong;;NULL;NULL;NULL;application/pdf;NULL;;4082.35;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Manajemen_Reproduksi_sapi_potong1.pdf
Manajemen reproduksi sapi potong;manajemen-reproduksi-sapi-potong;;NULL;NULL;NULL;application/pdf;NULL;;4082.35;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Manajemen_Reproduksi_sapi_potong1.pdf
Teknologi produksi beberapa sayuran organik;teknologi-produksi-beberapa-sayuran-organik;LPTP Kepri;NULL;NULL;NULL;application/pdf;NULL;;2069.61;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/the_nutrients0001.pdf
Teknologi produksi beberapa sayuran organik;teknologi-produksi-beberapa-sayuran-organik;LPTP Kepri;NULL;NULL;NULL;application/pdf;NULL;;2118.77;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Teknologi_produksi_Beberapa_Sayuran_Organik.pdf
Profil LPTP Kepri;profil-lptp-kepri;LPTP Kepri;NULL;NULL;NULL;application/pdf;NULL;;3678.63;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/pest0001.pdf
Profil LPTP Kepri;profil-lptp-kepri;LPTP Kepri;NULL;NULL;NULL;application/pdf;NULL;;1433.4;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Profil_LPTP_Kepri.pdf
Penyakit demam tiga hari(Bovine ephemeral fever) pada sapi;penyakit-demam-tiga-haribovine-ephemeral-fever-pada-sapi;LPTP Kepri;NULL;NULL;NULL;application/pdf;NULL;;3293.18;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/strategist_for0001.pdf
Penyakit demam tiga hari(Bovine ephemeral fever) pada sapi;penyakit-demam-tiga-haribovine-ephemeral-fever-pada-sapi;LPTP Kepri;NULL;NULL;NULL;application/pdf;NULL;;2141.4;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Penyakit_Demam_Tiga_Hari_(_BOVINE_EPHEMERAL_FEVER_)_Pada_Sapi.pdf
Penangkar benih padi;penangkar-benih-padi;LPTP Kepri;NULL;NULL;NULL;application/pdf;NULL;;7236.2;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/cropping0001.pdf
Penangkar benih padi;penangkar-benih-padi;LPTP Kepri;NULL;NULL;NULL;application/pdf;NULL;;2057.06;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Penangkar_Benih_Padi.pdf
Pemanfaatan pestisida nabati untuk mengendalikan organik pengganggu tanaman;pemanfaatan-pestisida-nabati-untuk-mengendalikan-organik-pengganggu-tanaman;LPTP Kepri;NULL;NULL;NULL;application/pdf;NULL;;1534.76;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Pemanfaatan_Pestisida_Nabati_Untuk_Mengendalikan_Organisme_Penggangu_Tanaman.pdf
Budidaya bawang merah Lptp Kepri;budidaya-bawang-merah-lptp-kepri;LPTP Kepri;NULL;NULL;NULL;application/pdf;NULL;;6461.34;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Budidaya_Bawang_Merah.pdf
Trichoderma;trichoderma;LPTP Kepri;NULL;NULL;NULL;application/pdf;NULL;;1324.61;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Trichoderma.pdf
Pengolahan Dendeng Vegie;pengolahan-dendeng-vegie;Agus Sutanto;NULL;NULL;NULL;application/pdf;NULL;;528.07;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/DendengOK.pdf
Pengolahan Dendeng Vegie;pengolahan-dendeng-vegie;Retno Endrasari;NULL;NULL;NULL;application/pdf;NULL;;528.07;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/DendengOK.pdf
Pengolahan Dendeng Vegie;pengolahan-dendeng-vegie;Tri Cahyo Mardiyanto;NULL;NULL;NULL;application/pdf;NULL;;528.07;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/DendengOK.pdf
Petunjuk Teknis Pembuatan Kompos Berbahan Kotoran Sapi;petunjuk-teknis-pembuatan-kompos-berbahan-kotoran-sapi;;NULL;NULL;NULL;application/pdf;NULL;978-979-8308-75-8;987.71;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/65.pdf
Petunjuk Teknis Pembuatan Kompos Berbahan Kotoran Sapi;petunjuk-teknis-pembuatan-kompos-berbahan-kotoran-sapi;;NULL;NULL;NULL;application/pdf;NULL;978-979-8308-75-8;314.03;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/DOC-20161102-WA0002.pdf
Petunjuk Teknis  Penentuan Sumber Air  Dan Jenis Irigasi Suplementer;petunjuk-teknis-penentuan-sumber-air-dan-jenis-irigasi-suplementer;Budi Kartiwa;NULL;NULL;NULL;application/pdf;NULL;ISBN 978-602-6759-07-8;727;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/JT18-08-Joko_S.pdf
Petunjuk Teknis  Penentuan Sumber Air  Dan Jenis Irigasi Suplementer;petunjuk-teknis-penentuan-sumber-air-dan-jenis-irigasi-suplementer;Budi Kartiwa;NULL;NULL;NULL;application/pdf;NULL;ISBN 978-602-6759-07-8;1338.94;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Juknis_Penentuan_Sumber_Air.pdf
Felisavet;felisavet;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/felisavet
Antigen ND dan Antigen AI;antigen-nd-dan-antigen-ai;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/antigen-nd-dan-antigen-ai
Unit Pelayanan Diagnostik Veteriner;unit-pelayanan-diagnostik-veteriner;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/unit-pelayanan-diagnostik-veteriner
Kit Elisa Aflatoxin;kit-elisa-aflatoxin;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/kit-elisa-aflatoxin
Antigen Pullorum Polivalen;antigen-pullorum-polivalen;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/antigen-pullorum-polivalen
RhinoVet;rhinovet;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/rhinovet
Budidaya Bunga Potong Alpinia Purpurata;budidaya-bunga-potong-alpinia-purpurata;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/budidaya-bunga-potong-alpinia-purpurata
Budidaya Anggrek;budidaya-anggrek;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/budidaya-anggrek
Budidaya Anyelir;budidaya-anyelir;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/budidaya-anyelir
Budidaya Gladiol;budidaya-gladiol;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/budidaya-gladiol
Budidaya Mawar Potong di dalam Rumah Plastik;budidaya-mawar-potong-di-dalam-rumah-plastik;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/budidaya-mawar-potong-di-dalam-rumah-plastik
Meraup untung dari bertanam jamur merang;meraup-untung-dari-bertanam-jamur-merang;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/meraup-untung-dari-bertanam-jamur-merang
Booklet Teknologi Pengendalian getah kuning pada Buah manggis ;booklet-teknologi-pengendalian-getah-kuning-pada-buah-manggis-;NULL;NULL;NULL;NULL;NULL;NULL;ISBN 978-979-3871-95-0;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/booklet-teknologi-pengendalian-getah-kuning-pada-buah-manggis-
Booklet Puslitbang Hortikultura;booklet-puslitbang-hortikultura;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/booklet-puslitbang-hortikultura
Leaflet Hipokalsemia pada Sapi;leaflet-hipokalsemia-pada-sapi;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/leaflet-hipokalsemia-pada-sapi
Leaflet Perbenihan Tanaman Pangan;leaflet-perbenihan-tanaman-pangan;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/leaflet-perbenihan-tanaman-pangan
Leaflet Menanam Cabe Merah;leaflet-menanam-cabe-merah;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/leaflet-menanam-cabe-merah
Leaflet Pengelolaan Hara Spesifik Lokasi  Padi;leaflet-pengelolaan-hara-spesifik-lokasi-padi;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/leaflet-pengelolaan-hara-spesifik-lokasi-padi
Leaflet Cara Tanam Padi Jajar Legowo;leaflet-cara-tanam-padi-jajar-legowo;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/leaflet-cara-tanam-padi-jajar-legowo
Leaflet Teknik Pengambilan Contoh Tanah;leaflet-teknik-pengambilan-contoh-tanah;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/leaflet-teknik-pengambilan-contoh-tanah
Leaflet Pencegahan dan Pengobatan Penyakit Cacing Pada Ternak Kambing;leaflet-pencegahan-dan-pengobatan-penyakit-cacing-pada-ternak-kambing;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/leaflet-pencegahan-dan-pengobatan-penyakit-cacing-pada-ternak-kambing
Leaflet Pembibitan Kelapa Sawit Unggul;leaflet-pembibitan-kelapa-sawit-unggul;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/leaflet-pembibitan-kelapa-sawit-unggul
Leaflet Aneka Olahan Tepng Kasava;leaflet-aneka-olahan-tepng-kasava;NULL;NULL;NULL;NULL;NULL;NULL;;NULL;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/leaflet-aneka-olahan-tepng-kasava
